School Name,District Name,Reading/Writing Score,Math Score,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Carroll H S,Carroll ISD,620.0,700.0,<25,<25,,<25,100.0,<25,100.0,Texas,32.9388885,-97.1746373,1501 West Southlake Boulevard,76092,Tarrant County,Southlake,48439,"1501 West Southlake Boulevard, Southlake, Texas, 76092",113908,48439113908,2020.0,113908.0,Tarrant County,Texas,336.0,124.0,87.0,92.0,33.0,3266.0,0.0,31.0,156.0,343.0,164.0,1334.0,1238.0,36.9,25.9,27.4,9.8,0.0,0.9,4.8,10.5,5.0,40.8,37.9,1584.0,237256.0,295945.0,5233.0,328.0,6.3,4905.0,93.7,3623.0,69.2,122.0,2.3,5.0,0.1,987.0,18.9,0.0,0.0,0.0,0.0,168.0,3.2
Brewer H S,White Settlement ISD,482.0,467.0,455,388,85.3,30,7.7,82,21.1,Texas,32.7795225,-97.47887949999999,1025 West Loop 820 North,76108,Tarrant County,Fort Worth,48439,"1025 West Loop 820 North, Fort Worth, Texas, 76108",100601,48439100601,2020.0,100601.0,Tarrant County,Texas,136.0,7.0,42.0,77.0,10.0,1832.0,49.0,106.0,407.0,416.0,92.0,450.0,312.0,5.1,30.9,56.6,7.4,2.7,5.8,22.2,22.7,5.0,24.6,17.0,1138.0,67143.0,89357.0,2337.0,498.0,21.3,1839.0,78.7,1730.0,74.0,98.0,4.2,9.0,0.4,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Amarillo Collegiate Academy,Texas College Preparatory Academie,551.0,521.0,<25,<25,94.4,<25,17.6,<25,41.2,Texas,35.2069816,-101.8320065,,N/A,Potter County,Amarillo,48375,,015400,48375015400,2020.0,15400.0,Potter County,Texas,230.0,26.0,110.0,94.0,0.0,1561.0,357.0,385.0,347.0,224.0,184.0,55.0,9.0,11.3,47.8,40.9,0.0,22.9,24.7,22.2,14.3,11.8,3.5,0.6,1044.0,31094.0,43453.0,2549.0,2048.0,80.3,501.0,19.7,211.0,8.3,186.0,7.3,0.0,0.0,53.0,2.1,0.0,0.0,0.0,0.0,51.0,2.0
Ischool Virtual Academy Of Texas,Texas College Preparatory Academie,555.0,505.0,<75,<25,15.2,<25,20.0,<25,50.0,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Ischool High - Lewisville,Texas College Preparatory Academie,504.0,491.0,<50,<50,73.5,<25,8.0,<25,20.0,Texas,33.0400264,-97.0508467,500 Parker Square Road,75028,Denton County,Flower Mound,48121,"500 Parker Square Road, Flower Mound, Texas, 75028",021722,48121021722,2020.0,21722.0,Denton County,Texas,369.0,19.0,218.0,120.0,12.0,2697.0,65.0,13.0,438.0,593.0,278.0,960.0,350.0,5.1,59.1,32.5,3.3,2.4,0.5,16.2,22.0,10.3,35.6,13.0,1557.0,95873.0,114560.0,4137.0,706.0,17.1,3431.0,82.9,2931.0,70.8,299.0,7.2,17.0,0.4,80.0,1.9,0.0,0.0,0.0,0.0,104.0,2.5
Stem Academy - Lewisville,Texas College Preparatory Academie,584.0,553.0,<50,<50,100.0,<25,47.4,<25,55.3,Texas,33.0670976,-97.0369582,1604 North Garden Ridge Boulevard,75077,Denton County,Lewisville,48121,"1604 North Garden Ridge Boulevard, Lewisville, Texas, 75077",021715,48121021715,2020.0,21715.0,Denton County,Texas,223.0,26.0,106.0,76.0,15.0,3533.0,123.0,91.0,476.0,906.0,432.0,1162.0,343.0,11.7,47.5,34.1,6.7,3.5,2.6,13.5,25.6,12.2,32.9,9.7,1686.0,95586.0,113311.0,4690.0,797.0,17.0,3893.0,83.0,2534.0,54.0,557.0,11.9,16.0,0.3,658.0,14.0,0.0,0.0,0.0,0.0,128.0,2.7
Founders Classical Academy,Texas College Preparatory Academie,616.0,582.0,68,61,89.7,36,59.0,41,67.2,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Ischool High At University Park,Texas College Preparatory Academie,562.0,530.0,67,77,100.0,22,28.6,36,46.8,Texas,32.8550377,-96.797592,,N/A,Dallas County,University Park,48113,,019501,48113019501,2020.0,19501.0,Dallas County,Texas,279.0,106.0,15.0,33.0,125.0,4667.0,0.0,0.0,147.0,208.0,60.0,2531.0,1721.0,38.0,5.4,11.8,44.8,0.0,0.0,3.1,4.5,1.3,54.2,36.9,2378.0,250001.0,385667.0,7433.0,198.0,2.7,7235.0,97.3,6782.0,91.2,0.0,0.0,0.0,0.0,267.0,3.6,0.0,0.0,0.0,0.0,186.0,2.5
Ischool High At The Woodlands,Texas College Preparatory Academie,581.0,558.0,83,64,77.1,24,37.5,42,65.6,Texas,30.2089444,-95.4679105,3232 College Park Drive,77384,Montgomery County,The Woodlands,48339,"3232 College Park Drive, The Woodlands, Texas, 77384",690701,48339690701,2020.0,690701.0,Montgomery County,Texas,412.0,55.0,0.0,265.0,92.0,4946.0,51.0,453.0,780.0,1203.0,478.0,1286.0,695.0,13.3,0.0,64.3,22.3,1.0,9.2,15.8,24.3,9.7,26.0,14.1,2913.0,67202.0,92555.0,6017.0,662.0,11.0,5355.0,89.0,3976.0,66.1,448.0,7.4,32.0,0.5,786.0,13.1,14.0,0.2,0.0,0.0,99.0,1.6
Founders Classical Academy Of Lean,Texas College Preparatory Academie,625.0,612.0,<50,<50,90.9,<25,53.3,<50,83.3,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Founders Classical Academy Of Mesq,Texas College Preparatory Academie,487.0,473.0,<25,<25,100.0,<25,14.3,<25,14.3,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Abilene H S,Abilene ISD,519.0,490.0,388,112,28.9,18,16.1,32,28.6,Texas,32.4561532,-99.75615010000001,2800 North 6th Street,79603,Taylor County,Abilene,48441,"2800 North 6th Street, Abilene, Texas, 79603",011200,48441011200,2020.0,11200.0,Taylor County,Texas,399.0,5.0,169.0,203.0,22.0,1515.0,115.0,196.0,737.0,215.0,51.0,160.0,41.0,1.3,42.4,50.9,5.5,7.6,12.9,48.6,14.2,3.4,10.6,2.7,1034.0,35473.0,42245.0,2583.0,978.0,37.9,1605.0,62.1,1253.0,48.5,222.0,8.6,55.0,2.1,75.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0
Cooper H S,Abilene ISD,504.0,494.0,<400,<150,38.4,<25,13.1,<50,29.0,Texas,32.4063785,-99.7488642,3639 Sayles Boulevard,79605,Taylor County,Abilene,48441,"3639 Sayles Boulevard, Abilene, Texas, 79605",012400,48441012400,2020.0,12400.0,Taylor County,Texas,117.0,6.0,44.0,67.0,0.0,1727.0,5.0,125.0,583.0,504.0,117.0,287.0,106.0,5.1,37.6,57.3,0.0,0.3,7.2,33.8,29.2,6.8,16.6,6.1,1022.0,47636.0,59839.0,2430.0,360.0,14.8,2070.0,85.2,1529.0,62.9,463.0,19.1,0.0,0.0,36.0,1.5,0.0,0.0,0.0,0.0,42.0,1.7
Academy For Technology Engineering,Abilene ISD,570.0,554.0,<75,<50,44.4,<25,42.9,<25,57.1,Texas,32.4250488,-99.69381709999999,2034 Quantum Loop,79602,Taylor County,Abilene,48441,"2034 Quantum Loop, Abilene, Texas, 79602",980000,48441980000,2020.0,980000.0,Taylor County,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,-666666666.0,-666666666.0,0.0,0.0,-666666666.0,0.0,-666666666.0,0.0,-666666666.0,0.0,-666666666.0,0.0,-666666666.0,0.0,-666666666.0,0.0,-666666666.0,0.0,-666666666.0,0.0,-666666666.0
Merkel H S,Merkel ISD,529.0,496.0,<100,<25,21.8,<25,17.6,<25,23.5,Texas,32.465762,-100.0250424,2000 South 7th Street,79536,Taylor County,Merkel,48441,"2000 South 7th Street, Merkel, Texas, 79536",013601,48441013601,2020.0,13601.0,Taylor County,Texas,104.0,5.0,60.0,29.0,10.0,1770.0,83.0,158.0,712.0,487.0,137.0,127.0,66.0,4.8,57.7,27.9,9.6,4.7,8.9,40.2,27.5,7.7,7.2,3.7,1027.0,60104.0,67795.0,2890.0,574.0,19.9,2316.0,80.1,2262.0,78.3,27.0,0.9,13.0,0.4,7.0,0.2,0.0,0.0,0.0,0.0,7.0,0.2
Jim Ned H S,Jim Ned CISD,561.0,567.0,87,43,49.4,13,30.2,31,72.1,Texas,32.2138867,-99.7967882,830 Garza Avenue,79562,Taylor County,Tuscola,48441,"830 Garza Avenue, Tuscola, Texas, 79562",013502,48441013502,2020.0,13502.0,Taylor County,Texas,160.0,6.0,57.0,97.0,0.0,3480.0,58.0,77.0,912.0,847.0,312.0,791.0,483.0,3.8,35.6,60.6,0.0,1.7,2.2,26.2,24.3,9.0,22.7,13.9,1856.0,98000.0,102660.0,4974.0,400.0,8.0,4574.0,92.0,4510.0,90.7,37.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.5
Wylie H S,Wylie ISD,571.0,560.0,285,195,68.4,77,39.5,121,62.1,Texas,33.0089497,-96.57213589999999,2550 Farm to Market Road 544,75098,Collin County,Wylie,48085,"2550 Farm to Market Road 544, Wylie, Texas, 75098",031319,48085031319,2020.0,31319.0,Collin County,Texas,302.0,87.0,88.0,115.0,12.0,2592.0,129.0,46.0,715.0,753.0,176.0,546.0,227.0,28.8,29.1,38.1,4.0,5.0,1.8,27.6,29.1,6.8,21.1,8.8,1464.0,61230.0,81485.0,3953.0,761.0,19.3,3192.0,80.7,2535.0,64.1,324.0,8.2,0.0,0.0,265.0,6.7,0.0,0.0,0.0,0.0,68.0,1.7
Sanderson Schools,Terrell County ISD,475.0,415.0,<25,<25,57.1,<25,,<25,25.0,Texas,30.1426682,-102.3953887,100 West Hackberry Street,79848,Terrell County,Sanderson,48443,"100 West Hackberry Street, Sanderson, Texas, 79848",950100,48443950100,2020.0,950100.0,Terrell County,Texas,7.0,0.0,7.0,0.0,0.0,779.0,70.0,45.0,175.0,290.0,23.0,149.0,27.0,0.0,100.0,0.0,0.0,9.0,5.8,22.5,37.2,3.0,19.1,3.5,419.0,42823.0,50663.0,903.0,454.0,50.3,449.0,49.7,403.0,44.6,14.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.5
Brownfield H S,Brownfield ISD,436.0,432.0,<100,<100,100.0,<25,,<25,9.6,Texas,33.1866871,-102.2601449,902 North Cub Drive,79316,Terry County,Brownfield,48445,"902 North Cub Drive, Brownfield, Texas, 79316",950400,48445950400,2020.0,950400.0,Terry County,Texas,555.0,143.0,280.0,132.0,0.0,5096.0,837.0,586.0,1460.0,1267.0,238.0,491.0,217.0,25.8,50.5,23.8,0.0,16.4,11.5,28.6,24.9,4.7,9.6,4.3,2911.0,44945.0,62577.0,7670.0,4113.0,53.6,3557.0,46.4,3428.0,44.7,129.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meadow School,Meadow ISD,455.0,462.0,<25,<25,26.1,<25,,<25,,Texas,33.3399083,-102.2115249,604 4th Street,79345,Terry County,Meadow,48445,"604 4th Street, Meadow, Texas, 79345",950100,48445950100,2020.0,950100.0,Terry County,Texas,328.0,92.0,26.0,200.0,10.0,1313.0,239.0,68.0,360.0,402.0,58.0,162.0,24.0,28.0,7.9,61.0,3.0,18.2,5.2,27.4,30.6,4.4,12.3,1.8,646.0,62500.0,78985.0,2569.0,1193.0,46.4,1376.0,53.6,1333.0,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.7
Wellman-Union School,Wellman-Union CISD,501.0,492.0,<25,<25,100.0,<25,5.9,<25,29.4,Texas,33.05121930000001,-102.3005803,,N/A,Terry County,N/A,48445,,950100,48445950100,2020.0,950100.0,Terry County,Texas,328.0,92.0,26.0,200.0,10.0,1313.0,239.0,68.0,360.0,402.0,58.0,162.0,24.0,28.0,7.9,61.0,3.0,18.2,5.2,27.4,30.6,4.4,12.3,1.8,646.0,62500.0,78985.0,2569.0,1193.0,46.4,1376.0,53.6,1333.0,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.7
Throckmorton Collegiate ISD,Throckmorton Collegiate ISD,476.0,450.0,<25,<25,81.8,<25,,<25,22.2,Texas,33.1814565,-99.2785583,,N/A,Throckmorton County,N/A,48447,,950300,48447950300,2020.0,950300.0,Throckmorton County,Texas,128.0,15.0,63.0,50.0,0.0,1067.0,75.0,64.0,399.0,213.0,78.0,156.0,82.0,11.7,49.2,39.1,0.0,7.0,6.0,37.4,20.0,7.3,14.6,7.7,713.0,41875.0,65105.0,1500.0,181.0,12.1,1319.0,87.9,1277.0,85.1,16.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.7
Woodson School,Woodson ISD,,,<25,<25,7.1,<25,,<25,,Texas,32.9986031,-99.03499769999999,,N/A,Throckmorton County,N/A,48447,,950300,48447950300,2020.0,950300.0,Throckmorton County,Texas,128.0,15.0,63.0,50.0,0.0,1067.0,75.0,64.0,399.0,213.0,78.0,156.0,82.0,11.7,49.2,39.1,0.0,7.0,6.0,37.4,20.0,7.3,14.6,7.7,713.0,41875.0,65105.0,1500.0,181.0,12.1,1319.0,87.9,1277.0,85.1,16.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.7
Mount Pleasant H S,Mount Pleasant ISD,517.0,503.0,335,52,15.5,9,17.3,19,36.5,Texas,33.1767374,-94.9902264,2110 North Edwards Avenue,75455,Titus County,Mount Pleasant,48449,"2110 North Edwards Avenue, Mount Pleasant, Texas, 75455",950302,48449950302,2020.0,950302.0,Titus County,Texas,462.0,98.0,320.0,6.0,38.0,2398.0,190.0,82.0,757.0,516.0,174.0,447.0,232.0,21.2,69.3,1.3,8.2,7.9,3.4,31.6,21.5,7.3,18.6,9.7,1518.0,58361.0,69806.0,4167.0,1759.0,42.2,2408.0,57.8,1987.0,47.7,411.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.2,0.0,0.0
Chapel Hill H S,Chapel Hill ISD,543.0,532.0,106,33,31.1,9,27.3,17,51.5,Texas,32.3096775,-95.189027,13172 State Highway 64,75707,Smith County,Tyler,48423,"13172 State Highway 64, Tyler, Texas, 75707",001807,48423001807,2020.0,1807.0,Smith County,Texas,1084.0,53.0,96.0,600.0,335.0,1812.0,135.0,54.0,293.0,405.0,233.0,561.0,131.0,4.9,8.9,55.4,30.9,7.5,3.0,16.2,22.4,12.9,31.0,7.2,1475.0,59088.0,58647.0,3333.0,287.0,8.6,3046.0,91.4,2267.0,68.0,287.0,8.6,0.0,0.0,137.0,4.1,0.0,0.0,76.0,2.3,279.0,8.4
Texas Leadership Of San Angelo,Texas Leadership Public Schools,531.0,531.0,<75,<25,22.5,<25,25.0,<25,43.8,Texas,31.4376948,-100.5057904,5687 Melrose Avenue,76901,Tom Green County,San Angelo,48451,"5687 Melrose Avenue, San Angelo, Texas, 76901",001101,48451001101,2020.0,1101.0,Tom Green County,Texas,982.0,161.0,316.0,392.0,113.0,3434.0,85.0,120.0,808.0,918.0,306.0,658.0,539.0,16.4,32.2,39.9,11.5,2.5,3.5,23.5,26.7,8.9,19.2,15.7,1981.0,66728.0,101182.0,5874.0,2124.0,36.2,3750.0,63.8,3220.0,54.8,327.0,5.6,0.0,0.0,42.0,0.7,0.0,0.0,0.0,0.0,161.0,2.7
Christoval H S,Christoval ISD,579.0,529.0,<50,<25,21.4,<25,22.2,<25,33.3,Texas,31.19067979999999,-100.49641,20041 Rudd Street,76935,Tom Green County,Christoval,48451,"20041 Rudd Street, Christoval, Texas, 76935",001710,48451001710,2020.0,1710.0,Tom Green County,Texas,214.0,28.0,46.0,128.0,12.0,3048.0,0.0,57.0,780.0,1070.0,206.0,593.0,342.0,13.1,21.5,59.8,5.6,0.0,1.9,25.6,35.1,6.8,19.5,11.2,1603.0,74971.0,103722.0,4168.0,737.0,17.7,3431.0,82.3,3047.0,73.1,165.0,4.0,0.0,0.0,33.0,0.8,0.0,0.0,0.0,0.0,186.0,4.5
Central H S,San Angelo ISD,505.0,491.0,<600,<450,72.2,<75,14.8,<150,32.9,Texas,31.4638108,-100.4504003,655 Caddo Street,76901,Tom Green County,San Angelo,48451,"655 Caddo Street, San Angelo, Texas, 76901",001102,48451001102,2020.0,1102.0,Tom Green County,Texas,403.0,91.0,190.0,117.0,5.0,2974.0,227.0,330.0,1007.0,829.0,247.0,216.0,118.0,22.6,47.1,29.0,1.2,7.6,11.1,33.9,27.9,8.3,7.3,4.0,1764.0,50732.0,53905.0,4576.0,2611.0,57.1,1965.0,42.9,1891.0,41.3,24.0,0.5,14.0,0.3,5.0,0.1,0.0,0.0,0.0,0.0,31.0,0.7
Lake View H S,San Angelo ISD,444.0,432.0,<225,<175,77.6,<25,3.8,<25,11.5,Texas,31.5039317,-100.4427865,900 East 43rd Street,76903,Tom Green County,San Angelo,48451,"900 East 43rd Street, San Angelo, Texas, 76903",000200,48451000200,2020.0,200.0,Tom Green County,Texas,330.0,41.0,138.0,151.0,0.0,3290.0,390.0,334.0,1207.0,631.0,314.0,305.0,109.0,12.4,41.8,45.8,0.0,11.9,10.2,36.7,19.2,9.5,9.3,3.3,1634.0,47698.0,61467.0,5040.0,2666.0,52.9,2374.0,47.1,2289.0,45.4,59.0,1.2,0.0,0.0,0.0,0.0,5.0,0.1,0.0,0.0,21.0,0.4
Lincoln Middle,San Angelo ISD,,,<25,<25,,<25,,<25,100.0,Texas,31.5112811,-100.4530949,255 Lake View Heroes Drive,76903,Tom Green County,San Angelo,48451,"255 Lake View Heroes Drive, San Angelo, Texas, 76903",000200,48451000200,2020.0,200.0,Tom Green County,Texas,330.0,41.0,138.0,151.0,0.0,3290.0,390.0,334.0,1207.0,631.0,314.0,305.0,109.0,12.4,41.8,45.8,0.0,11.9,10.2,36.7,19.2,9.5,9.3,3.3,1634.0,47698.0,61467.0,5040.0,2666.0,52.9,2374.0,47.1,2289.0,45.4,59.0,1.2,0.0,0.0,0.0,0.0,5.0,0.1,0.0,0.0,21.0,0.4
Water Valley H S,Water Valley ISD,470.0,470.0,<25,<25,12.5,<25,,<25,50.0,Texas,31.6736541,-100.7548851,,N/A,Tom Green County,N/A,48451,,001709,48451001709,2020.0,1709.0,Tom Green County,Texas,453.0,49.0,70.0,213.0,121.0,3069.0,132.0,209.0,1268.0,658.0,203.0,368.0,231.0,10.8,15.5,47.0,26.7,4.3,6.8,41.3,21.4,6.6,12.0,7.5,1646.0,71800.0,88761.0,4723.0,1062.0,22.5,3661.0,77.5,3573.0,75.7,34.0,0.7,38.0,0.8,16.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Wall H S,Wall ISD,524.0,513.0,<100,<25,16.7,<25,23.1,<25,30.8,Texas,31.3713047,-100.3027859,8065 Loop 570,76957,Tom Green County,Wall,48451,"8065 Loop 570, Wall, Texas, 76957",001600,48451001600,2020.0,1600.0,Tom Green County,Texas,144.0,31.0,53.0,44.0,16.0,2865.0,266.0,162.0,815.0,624.0,131.0,587.0,280.0,21.5,36.8,30.6,11.1,9.3,5.7,28.4,21.8,4.6,20.5,9.8,1495.0,67485.0,108048.0,4250.0,1160.0,27.3,3090.0,72.7,3077.0,72.4,7.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.1
Grape Creek H S,Grape Creek ISD,548.0,518.0,<75,<25,9.3,<25,20.0,<25,40.0,Texas,31.6060797,-100.4846227,,N/A,Tom Green County,N/A,48451,,001709,48451001709,2020.0,1709.0,Tom Green County,Texas,453.0,49.0,70.0,213.0,121.0,3069.0,132.0,209.0,1268.0,658.0,203.0,368.0,231.0,10.8,15.5,47.0,26.7,4.3,6.8,41.3,21.4,6.6,12.0,7.5,1646.0,71800.0,88761.0,4723.0,1062.0,22.5,3661.0,77.5,3573.0,75.7,34.0,0.7,38.0,0.8,16.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Veribest H S,Veribest ISD,,,<25,<25,4.8,<25,100.0,<25,100.0,Texas,31.5097045,-100.2824483,,N/A,Tom Green County,N/A,48451,,001600,48451001600,2020.0,1600.0,Tom Green County,Texas,144.0,31.0,53.0,44.0,16.0,2865.0,266.0,162.0,815.0,624.0,131.0,587.0,280.0,21.5,36.8,30.6,11.1,9.3,5.7,28.4,21.8,4.6,20.5,9.8,1495.0,67485.0,108048.0,4250.0,1160.0,27.3,3090.0,72.7,3077.0,72.4,7.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.1
University Of Texas At Austin H S,University Of Texas At Austin H S,618.0,599.0,<75,<50,51.4,<25,54.1,<50,75.7,Texas,30.2850284,-97.7335226,2515 Speedway,78712,Travis County,Austin,48453,"2515 Speedway, Austin, Texas, 78712",000601,48453000601,2020.0,601.0,Travis County,Texas,9714.0,34.0,1658.0,7900.0,122.0,581.0,0.0,0.0,135.0,91.0,27.0,209.0,119.0,0.4,17.1,81.3,1.3,0.0,0.0,23.2,15.7,4.6,36.0,20.5,303.0,14844.0,20379.0,10455.0,2557.0,24.5,7898.0,75.5,4774.0,45.7,1866.0,17.8,36.0,0.3,889.0,8.5,18.0,0.2,35.0,0.3,280.0,2.7
Wayside Sci-Tech Middle And H S,Wayside Schools,433.0,427.0,<50,<50,100.0,<25,4.2,<25,6.3,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Nyos Charter School,Nyos Charter School,578.0,564.0,<75,<50,77.0,<25,36.2,<50,63.8,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Chaparral Star Academy,Chaparral Star Academy,612.0,580.0,<50,<25,88.0,<25,54.5,<25,81.8,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Harmony Science Academy-Pflugervil,Harmony Science Academy (Austin),527.0,524.0,<125,<125,100.0,<50,26.2,<50,45.8,Texas,30.4390121,-97.6636905,1421 Wells Branch Parkway,78660,Travis County,Pflugerville,48453,"1421 Wells Branch Parkway, Pflugerville, Texas, 78660",044200,48453044200,2020.0,44200.0,Travis County,Texas,584.0,7.0,63.0,281.0,233.0,2478.0,63.0,230.0,522.0,568.0,154.0,557.0,384.0,1.2,10.8,48.1,39.9,2.5,9.3,21.1,22.9,6.2,22.5,15.5,1695.0,70547.0,82458.0,3905.0,915.0,23.4,2990.0,76.6,954.0,24.4,947.0,24.3,0.0,0.0,317.0,8.1,0.0,0.0,79.0,2.0,693.0,17.7
